,Id,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross,Profitability,ROI,Movie Id,Genres,Name
61,43,2011,Trust,4000000,120016,120016,-3879984,0.030004,tt1529572,"['Crime', 'Drama', 'Thriller']",Frank Blenman
62,43,2011,Trust,4000000,120016,120016,-3879984,0.030004,tt1529572,"['Crime', 'Drama', 'Thriller']",Parker Olson
63,43,2011,Trust,4000000,120016,120016,-3879984,0.030004,tt1529572,"['Crime', 'Drama', 'Thriller']",Sefa Ozturk
66,53,2013,Inescapable,4000000,4327,4327,-3995673,0.00108175,tt1844203,"['Action', 'Drama', 'Mystery']",Ruba Nadda
67,56,2012,A Lonely Place to Die,4000000,0,442550,-3557450,0.1106375,tt1422136,"['Adventure', 'Crime', 'Thriller']",Julian Gilbey
68,62,2012,Replicas,4000000,0,0,-4000000,0.0,tt4154916,"['Drama', 'Sci-Fi', 'Thriller']",Jeffrey Nachmanoff
70,84,2006,Unknown,3700000,26403,3355048,-344952,0.9067697297297297,tt1401152,"['Action', 'Mystery', 'Thriller']",Johanna Valero
71,91,2018,Truth or Dare,3500000,41411015,95127344,91627344,27.179241142857144,tt2125681,"['Horror', 'Romance', 'Thriller']",Jessica Cameron
72,91,2018,Truth or Dare,3500000,41411015,95127344,91627344,27.179241142857144,tt2125681,"['Horror', 'Romance', 'Thriller']",Tom Boyle
73,91,2018,Truth or Dare,3500000,41411015,95127344,91627344,27.179241142857144,tt2125681,"['Horror', 'Romance', 'Thriller']",Zhi-yu Ma
74,91,2018,Truth or Dare,3500000,41411015,95127344,91627344,27.179241142857144,tt2125681,"['Horror', 'Romance', 'Thriller']",Suzette Reyes
75,91,2018,Truth or Dare,3500000,41411015,95127344,91627344,27.179241142857144,tt2125681,"['Horror', 'Romance', 'Thriller']",Junshu Huang
76,91,2018,Truth or Dare,3500000,41411015,95127344,91627344,27.179241142857144,tt2125681,"['Horror', 'Romance', 'Thriller']",Yun Xie
77,94,2016,The Witch,3500000,25138705,40454520,36954520,11.558434285714286,tt4263482,"['Horror', 'Mystery']",Huy Yaleng
78,94,2016,The Witch,3500000,25138705,40454520,36954520,11.558434285714286,tt4263482,"['Horror', 'Mystery']",Robert Eggers
