index,Movie ID,Movie,Release Date,ARR,prod_budget_bucket
3994,tt1216491,Kill the Messenger,2014,1.331341,b1
3994,tt1216491,Kill the Messenger,2014,1.331341,b1
3995,tt0935075,Rabbit Hole,2010,1.2410068,b1
3996,tt3614530,Jem and the Holograms,2015,0.4737874,b1
3997,tt5247022,Paterson,2016,2.1455072,b1
3997,tt5247022,Paterson,2016,2.1455072,b1
3997,tt5247022,Paterson,2016,2.1455072,b1
4003,tt2800038,Atlas Shrugged: Who Is John Galt?,2014,0.170338,b1
4003,tt2800038,Atlas Shrugged: Who Is John Galt?,2014,0.170338,b1
4003,tt2800038,Atlas Shrugged: Who Is John Galt?,2014,0.170338,b1
4007,tt2388637,Ain't Them Bodies Saints,2013,0.2150018,b1
4007,tt2388637,Ain't Them Bodies Saints,2013,0.2150018,b1
4007,tt2388637,Ain't Them Bodies Saints,2013,0.2150018,b1
4014,tt3813310,Cop Car,2015,0.0287316,b1
4014,tt3813310,Cop Car,2015,0.0287316,b1
4019,tt2232596,Stuck,2008,0.013501,b1
4019,tt2232596,Stuck,2008,0.013501,b1
4021,tt1798243,Rudderless,2014,0.1134438,b1
4021,tt1798243,Rudderless,2014,0.1134438,b1
4023,tt1555814,Grace,2009,0.0016594,b1
4023,tt1555814,Grace,2009,0.0016594,b1
4023,tt1555814,Grace,2009,0.0016594,b1
4024,tt1519461,Area 51,2015,0.0015112,b1
4024,tt1519461,Area 51,2015,0.0015112,b1
4024,tt1519461,Area 51,2015,0.0015112,b1
4027,tt1977941,The Cottage,2008,0.300992,b1
4027,tt1977941,The Cottage,2008,0.300992,b1
4027,tt1977941,The Cottage,2008,0.300992,b1
4028,tt1274586,Dying of the Light,2014,0.0149278,b1
4028,tt1274586,Dying of the Light,2014,0.0149278,b1
4029,tt3838992,Yoga Hosers,2016,0.0045916,b1
4029,tt3838992,Yoga Hosers,2016,0.0045916,b1
4033,tt0959306,Reach Me,2014,0.0,b1
4033,tt0959306,Reach Me,2014,0.0,b1
4033,tt0959306,Reach Me,2014,0.0,b1
4035,tt1554921,Born of War,2015,0.0,b1
4035,tt1554921,Born of War,2015,0.0,b1
4035,tt1554921,Born of War,2015,0.0,b1
4036,tt2980708,Let's Kill Ward's Wife,2015,0.0,b1
4036,tt2980708,Let's Kill Ward's Wife,2015,0.0,b1
4039,tt1717210,Should've Been Romeo,2012,0.0,b1
4039,tt1717210,Should've Been Romeo,2012,0.0,b1
4040,tt2237914,Aztec Warrior,2015,0.0,b1
4040,tt2237914,Aztec Warrior,2015,0.0,b1
4042,tt2938464,The Hatching,2016,0.0,b1
4042,tt2938464,The Hatching,2016,0.0,b1
4044,tt3612616,Mommy,2015,3.5787763265306123,b1
4047,tt1373405,The Awakening,2012,1.4131267346938776,b1
4047,tt1373405,The Awakening,2012,1.4131267346938776,b1
4050,tt1825801,Hostel,2006,17.13356458333333,b1
4050,tt1825801,Hostel,2006,17.13356458333333,b1
4050,tt1825801,Hostel,2006,17.13356458333333,b1
4051,tt1602613,Only God Forgives,2013,0.9363666666666667,b1
4051,tt1602613,Only God Forgives,2013,0.9363666666666667,b1
4052,tt1675192,Take Shelter,2011,1.0467402105263157,b1
4052,tt1675192,Take Shelter,2011,1.0467402105263157,b1
4052,tt1675192,Take Shelter,2011,1.0467402105263157,b1
4055,tt1547090,Without Men,2011,0.0,b1
4056,tt2091427,Treading Water,2015,0.0,b1
4056,tt2091427,Treading Water,2015,0.0,b1
4058,tt3099638,Barfi,2012,7.989561739130435,b1
4058,tt3099638,Barfi,2012,7.989561739130435,b1
4063,tt2751576,Out of the Blue,2007,0.15907978260869565,b1
4063,tt2751576,Out of the Blue,2007,0.15907978260869565,b1
4065,tt7895868,Secrets & Lies,1996,2.9816204444444443,b1
4065,tt7895868,Secrets & Lies,1996,2.9816204444444443,b1
4067,tt3464902,The Lobster,2016,4.004407555555556,b1
4067,tt3464902,The Lobster,2016,4.004407555555556,b1
4067,tt3464902,The Lobster,2016,4.004407555555556,b1
4068,tt10457702,Bound,1996,1.5580704444444444,b1
4068,tt10457702,Bound,1996,1.5580704444444444,b1
4077,tt4074762,Life During Wartime,2010,0.06254377777777778,b1
4079,tt1629705,Blackthorn,2011,0.2705126666666667,b1
4080,tt1881002,Maggie,2015,0.2283911111111111,b1
4080,tt1881002,Maggie,2015,0.2283911111111111,b1
4086,tt0857190,The Sweeney,2013,1.777859111111111,b1
4086,tt0857190,The Sweeney,2013,1.777859111111111,b1
4086,tt0857190,The Sweeney,2013,1.777859111111111,b1
