,index,Movie,Release Date,ARR,prod_budget_bucket,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,person_id,primary_name,birth_year,death_year,primary_profession
10834,548,Alvin and the Chipmunks: Chipwrecked,2011,4.3636065375,b4,tt1615918,Alvin and the Chipmunks: Chipwrecked,Alvin and the Chipmunks: Chipwrecked,2011,87.0,"Adventure,Animation,Comedy",nm0593610,Mike Mitchell,,,"actor,director,writer"
10846,551,Shutter Island,2010,3.743272275,b4,tt1130884,Shutter Island,Shutter Island,2010,138.0,"Mystery,Thriller",nm0000217,Martin Scorsese,1942.0,,"producer,director,actor"
10848,561,Yogi Bear,2010,2.559683625,b4,tt1302067,Yogi Bear,Yogi Bear,2010,80.0,"Adventure,Animation,Comedy",nm0108094,Eric Brevig,1957.0,,"visual_effects,director,assistant_director"
10863,563,The Book of Eli,2010,1.9843852125,b4,tt1037705,The Book of Eli,The Book of Eli,2010,118.0,"Action,Adventure,Drama",nm0400436,Albert Hughes,1972.0,,"producer,director,writer"
10864,563,The Book of Eli,2010,1.9843852125,b4,tt1037705,The Book of Eli,The Book of Eli,2010,118.0,"Action,Adventure,Drama",nm0400441,Allen Hughes,1972.0,,"producer,director,writer"
10869,567,Fury,2014,2.6289460125,b4,tt2713180,Fury,Fury,2014,134.0,"Action,Drama,War",nm0043742,David Ayer,1968.0,,"writer,director,producer"
10871,568,Smallfoot,2018,2.6711409625,b4,tt6182908,Smallfoot,Smallfoot,2018,96.0,"Adventure,Animation,Comedy",nm0456732,Karey Kirkpatrick,1964.0,,"writer,soundtrack,producer"
10872,568,Smallfoot,2018,2.6711409625,b4,tt6182908,Smallfoot,Smallfoot,2018,96.0,"Adventure,Animation,Comedy",nm1134222,Jason Reisig,1970.0,,"animation_department,visual_effects,director"
10913,570,Zookeeper,2011,2.1350690625,b4,tt1222817,Zookeeper,Zookeeper,2011,102.0,"Comedy,Family,Romance",nm0178997,Frank Coraci,1966.0,,"director,actor,producer"
10923,572,Conspiracy Theory,1997,1.784796475,b4,tt5354458,Conspiracy Theory,Lake on Fire,2016,79.0,"Horror,Thriller",nm6167715,Jake Myers,,,"director,writer,editor"
10926,580,The Secret Life of Pets 2,2019,1.4168937,b4,tt5113040,The Secret Life of Pets 2,The Secret Life of Pets 2,2019,86.0,"Adventure,Animation,Comedy",nm3646390,Jonathan del Val,,,"animation_department,director"
10927,580,The Secret Life of Pets 2,2019,1.4168937,b4,tt5113040,The Secret Life of Pets 2,The Secret Life of Pets 2,2019,86.0,"Adventure,Animation,Comedy",nm0719208,Chris Renaud,,,"producer,actor,director"
10932,588,Evolution,2001,1.22927415,b4,tt4291590,Evolution,Évolution,2015,81.0,"Drama,Mystery,Sci-Fi",nm0352968,Lucile Hadzihalilovic,1961.0,,"writer,director,actress"
10938,594,Daylight,1996,1.986353625,b4,tt1254978,Daylight,Daylight,2010,75.0,"Crime,Horror,Thriller",nm0054862,David Barker,,,"editor,writer,editorial_department"
10946,595,The Last Witch Hunter,2015,1.6352364,b4,tt1618442,The Last Witch Hunter,The Last Witch Hunter,2015,106.0,"Action,Adventure,Fantasy",nm0252135,Breck Eisner,1970.0,,"director,producer,actor"
10955,596,Pompeii,2014,1.3558629125,b4,tt1921064,Pompeii,Pompeii,2014,105.0,"Action,Adventure,Drama",nm0027271,Paul W.S. Anderson,1965.0,,"writer,producer,director"
10964,608,The Lion King,1994,12.43650527112232,b4,tt6105098,The Lion King,The Lion King,2019,,"Adventure,Animation,Drama",nm0269463,Jon Favreau,1966.0,,"producer,actor,miscellaneous"
10979,609,Journey 2: The Mysterious Island,2012,4.0271666075949355,b4,tt1397514,Journey 2: The Mysterious Island,Journey 2: The Mysterious Island,2012,94.0,"Action,Adventure,Comedy",nm0679031,Brad Peyton,1978.0,,"producer,writer,director"
10991,610,Jack and Jill,2011,1.905306544303797,b4,tt0810913,Jack and Jill,Jack and Jill,2011,91.0,Comedy,nm0240797,Dennis Dugan,1946.0,,"actor,director,producer"
10996,612,Cloudy with a Chance of Meatballs 2,2013,3.5178544743589737,b4,tt1985966,Cloudy with a Chance of Meatballs 2,Cloudy with a Chance of Meatballs 2,2013,95.0,"Adventure,Animation,Comedy",nm0970606,Cody Cameron,1970.0,,"actor,animation_department,art_department"
10997,612,Cloudy with a Chance of Meatballs 2,2013,3.5178544743589737,b4,tt1985966,Cloudy with a Chance of Meatballs 2,Cloudy with a Chance of Meatballs 2,2013,95.0,"Adventure,Animation,Comedy",nm2329165,Kris Pearn,,,"animation_department,art_department,actor"
11038,618,The Little Prince,2016,1.3165021806451611,b4,tt10075374,The Little Prince,The Little Prince,2019,93.0,Action,nm8658796,Zhang Lei,,,director
11039,620,The Equalizer 2,2018,2.473417298701299,b4,tt3766354,The Equalizer 2,The Equalizer 2,2018,121.0,"Action,Crime,Thriller",nm0298807,Antoine Fuqua,1965.0,,"director,producer,actor"
11048,621,Despicable Me 2,2013,12.831800460526313,b4,tt1690953,Despicable Me 2,Despicable Me 2,2013,98.0,"Adventure,Animation,Comedy",nm1853544,Pierre Coffin,1967.0,,"actor,director,producer"
11049,621,Despicable Me 2,2013,12.831800460526313,b4,tt1690953,Despicable Me 2,Despicable Me 2,2013,98.0,"Adventure,Animation,Comedy",nm0719208,Chris Renaud,,,"producer,actor,director"
11060,625,The Secret Life of Pets,2016,11.823340453333332,b4,tt2709768,The Secret Life of Pets,The Secret Life of Pets,2016,87.0,"Adventure,Animation,Comedy",nm0719208,Chris Renaud,,,"producer,actor,director"
11061,625,The Secret Life of Pets,2016,11.823340453333332,b4,tt2709768,The Secret Life of Pets,The Secret Life of Pets,2016,87.0,"Adventure,Animation,Comedy",nm0155528,Yarrow Cheney,,,"animation_department,production_designer,director"
11078,628,Sing,2016,8.459397186666667,b4,tt3470600,Sing,Sing,2016,108.0,"Animation,Comedy,Family",nm2888554,Christophe Lourdelet,,,"animation_department,art_department,director"
11079,628,Sing,2016,8.459397186666667,b4,tt3470600,Sing,Sing,2016,108.0,"Animation,Comedy,Family",nm1134029,Garth Jennings,1972.0,,"director,actor,writer"
11084,629,Despicable Me 3,2017,13.796370000000001,b4,tt3469046,Despicable Me 3,Despicable Me 3,2017,89.0,"Adventure,Animation,Comedy",nm0049633,Kyle Balda,1971.0,,"director,animation_department,visual_effects"
11085,629,Despicable Me 3,2017,13.796370000000001,b4,tt3469046,Despicable Me 3,Despicable Me 3,2017,89.0,"Adventure,Animation,Comedy",nm3210494,Eric Guillon,,,"animation_department,art_department,production_designer"
11086,629,Despicable Me 3,2017,13.796370000000001,b4,tt3469046,Despicable Me 3,Despicable Me 3,2017,89.0,"Adventure,Animation,Comedy",nm1853544,Pierre Coffin,1967.0,,"actor,director,producer"
11102,633,Grown Ups,2010,3.629645733333333,b4,tt1375670,Grown Ups,Grown Ups,2010,102.0,Comedy,nm0240797,Dennis Dugan,1946.0,,"actor,director,producer"
11104,636,Wanted,2008,4.5655528,b4,tt1737267,Wanted,Wanted,2010,110.0,Action,nm3359146,Rabi Kinagi,,,"director,writer,editor"
11107,637,The Rock,1996,4.480926813333333,b4,tt4617100,The Rock,The Rock,2016,70.0,Comedy,nm6147180,Pia Justine Cruz,,,"director,editor,cinematographer"
11108,640,Now You See Me,2013,4.570256,b4,tt1670345,Now You See Me,Now You See Me,2013,115.0,"Crime,Mystery,Thriller",nm0504642,Louis Leterrier,1973.0,,"director,producer,actor"
11114,642,Christopher Robin,2018,2.633396773333333,b4,tt4575576,Christopher Robin,Christopher Robin,2018,104.0,"Adventure,Animation,Comedy",nm0286975,Marc Forster,1969.0,,"producer,director,writer"
11135,644,Immortals,2011,2.820832466666667,b4,tt1253864,Immortals,Immortals,2011,110.0,"Action,Drama,Fantasy",nm0802248,Tarsem Singh,1961.0,,"director,producer,soundtrack"
11141,653,Killers,2010,1.27430332,b4,tt1103153,Killers,Killers,2010,100.0,"Action,Comedy,Romance",nm0525659,Robert Luketic,1973.0,,"director,producer,writer"
11145,658,Bandits,2001,0.9536436133333334,b4,tt8327616,Bandits,Bandits,2018,,Drama,nm7316607,Muyiwa Aluko,,,"director,writer,producer"
