index,Id,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross,Profitability,ARR,Movie Id,Genres,prod_budget_bucket
4021,78,2014,Rudderless,5000000,56001,567219,-4432781,0.1134438,tt1798243,Drama,b1
4023,80,2009,Grace,5000000,8297,8297,-4991703,0.0016594,tt1555814,Crime,b1
4023,80,2009,Grace,5000000,8297,8297,-4991703,0.0016594,tt1555814,Drama,b1
4023,80,2009,Grace,5000000,8297,8297,-4991703,0.0016594,tt1555814,Horror,b1
4024,81,2015,Area 51,5000000,7556,7556,-4992444,0.0015112,tt1519461,Horror,b1
4024,81,2015,Area 51,5000000,7556,7556,-4992444,0.0015112,tt1519461,Sci-Fi,b1
4024,81,2015,Area 51,5000000,7556,7556,-4992444,0.0015112,tt1519461,Thriller,b1
4027,84,2008,The Cottage,5000000,0,1504960,-3495040,0.300992,tt1977941,Drama,b1
4027,84,2008,The Cottage,5000000,0,1504960,-3495040,0.300992,tt1977941,Horror,b1
4027,84,2008,The Cottage,5000000,0,1504960,-3495040,0.300992,tt1977941,Thriller,b1
4028,85,2014,Dying of the Light,5000000,0,74639,-4925361,0.0149278,tt1274586,Drama,b1
4028,85,2014,Dying of the Light,5000000,0,74639,-4925361,0.0149278,tt1274586,Thriller,b1
4029,86,2016,Yoga Hosers,5000000,0,22958,-4977042,0.0045916,tt3838992,Action,b1
4029,86,2016,Yoga Hosers,5000000,0,22958,-4977042,0.0045916,tt3838992,Comedy,b1
4033,90,2014,Reach Me,5000000,0,0,-5000000,0.0,tt0959306,Comedy,b1
4033,90,2014,Reach Me,5000000,0,0,-5000000,0.0,tt0959306,Crime,b1
4033,90,2014,Reach Me,5000000,0,0,-5000000,0.0,tt0959306,Drama,b1
4035,92,2015,Born of War,5000000,0,0,-5000000,0.0,tt1554921,Action,b1
4035,92,2015,Born of War,5000000,0,0,-5000000,0.0,tt1554921,Drama,b1
4035,92,2015,Born of War,5000000,0,0,-5000000,0.0,tt1554921,Thriller,b1
4036,93,2015,Let's Kill Ward's Wife,5000000,0,0,-5000000,0.0,tt2980708,Comedy,b1
